date,yclose-cPOC,yclose_cVAH,yclose_cVAL,yclose_cLVN,cVAH_cPOC,cPOC_cVAL,maxhD5_yclose,yclose_minlD5,close_POC,close_cPOC,close_VAH,close_cVAH,close_VAL,close_cVAL,close_LVN,close_cLVN,dH_maxhD5,dL_minlD5,close_yclose,open_yclose,nextClose_nextOpen,nextClose_close
20170221,-6.867142857,-45.85428571,7.31,17.94285714,38.98714286,14.17714286,68.8,55.25,-22.40285714,15.63285714,-34.79714286,-23.35428571,-18.27142857,29.81,-5.877142857,40.44285714,11.1,62.85,22.5,9.9,-88.5,-24.1
20170222,27.07142857,11.37857143,58.45714286,20.79428571,15.69285714,31.38571429,22,87.85,-0.44,51.52142857,-14.16,35.82857143,16.71,82.90714286,40.72,45.24428571,24.3,14.1,24.45,29,47,-65.45
20170223,-48.72,-75.55,-14.22428571,-37.22142857,26.83,34.49571429,105.8,28.35,-2.388571428,-70.22,-7.557142857,-97.05,7.948571429,-35.72428571,-11.00285714,-58.72142857,-85.3,-11.45,-21.5,-28.5,43.1,87.1
20170227,11.96,-54.6,24.44,28.6,66.56,12.48,87.3,58.3,-30.44571429,20.96,-41.75571429,-45.6,-22.36714286,33.44,-23.98285714,37.6,-33.3,55.75,9,4,-13.65,33.25
20170228,9.14,-32.46,59.06,38.26,41.6,49.92,40.2,105.4,6.777142857,12.64,5.952857143,-28.96,13.37142857,62.56,11.72285714,41.76,-29.4,87.35,3.5,8.8,-20,-27.6
20170301,0.13,-28.99,16.77,50.05,29.12,16.64,45.05,100.55,20.15571429,-6.37,-10.85142857,-35.49,36.69285714,10.27,30.49142857,43.55,-38.3,34.95,-6.5,0.75,33.3,-10.45
20170302,-14.96,-56.56,10,51.6,41.6,24.96,64.3,81.3,-16.90714286,-51.01,-26.21428571,-92.61,-9.461428571,-26.05,-29.93714286,15.55,-40.5,39.95,-36.05,-31,-21,36.05
20170303,-14.34,-20.98,28.82,52.06,6.64,43.16,32.6,83.6,32.62857143,25.86,27.68571429,19.22,37.57142857,69.02,20.27142857,92.26,14,43.7,40.2,18.7,-46.7,101.8
20170306,-15.82857143,-23.99285714,8.664285714,3.221428571,8.164285714,24.49285714,48.9,46.35,11.12571429,147.1714286,1.937142857,139.0071429,13.42285714,171.6642857,-0.8,166.2214286,155.1,169.95,163,191,-11.25,-12.05
20170307,128.6171429,121.4642857,164.3814286,65.475,7.152857143,35.76428571,59.7,190.65,-12.17857143,139.7671429,-16.25,132.6142857,-5.664285714,175.5314286,-7.292857143,76.625,-28,193.85,11.15,17.9,21.75,68.3
20170308,135.2671429,-0.637142857,192.49,72.125,135.9042857,57.22285714,53.05,197.3,4.77,194.0171429,-2.725714286,58.11285714,6.435714286,251.24,1.438571429,130.875,23.25,244.45,58.75,51.05,-44.85,4.3
20170309,68.37285714,-8.37,214.1842857,130.8,76.74285714,145.8114286,3.5,265.1,14.49142857,83.62285714,7.698571428,6.88,19.92571429,229.4342857,3.925,146.05,31.6,252.65,15.25,35.1,-6,-36
20170310,45.81,-13.48,79.69,103.375,59.29,33.88,44.85,251.6,7.834285714,38.76,4.555714285,-20.53,10.45714286,72.64,14.39142857,96.325,-47.9,225.6,-7.05,-5,-11,-5.95
20170314,2.507142857,-40,37.28571429,25.69285714,42.50714286,34.77857143,55.85,79.4,28.26285714,9.507142857,23.27428571,-33,41.56571429,44.28571429,9.971428571,32.69285714,-41,36.05,7,9,-37.3,-117.25
20170315,-4.332857143,-39.32857143,21.11857143,11.57428571,34.99571429,25.45142857,57.85,53.5,1.985714286,-69.63285714,-5.3,-104.6285714,16.55714286,-44.18142857,-2.871428571,-53.72571429,-82.85,-56.5,-65.3,-70.95,36.6,15.15
20170316,-108.2685714,-141.8385714,-89.08571429,-69.90285714,33.57,19.18285714,166.1,1.75,-12.78714286,-84.26857143,-17.96,-117.8385714,-4.165714286,-65.08571429,-40.37571429,-45.90285714,-91.45,16.05,24,21.5,-6.8,40.3
20170317,-50.16857143,-93.33,16.97142857,-7.007142857,43.16142857,67.14,108,59.85,-30.05428571,-49.01857143,-34.09142857,-92.18,-26.01714286,18.12142857,-16.59714286,-5.857142857,-66.25,54.5,1.15,13,-18.45,-38.65
20170320,-25.77428571,-54.76857143,24.96571429,10.46857143,28.99428571,50.74,60.8,66.05,23.48571429,-49.82428571,10.49142857,-78.81857143,40.81142857,0.915714286,8.325714286,-13.58142857,-60.8,-9.75,-24.05,-25.25,24.05,32
20170321,-69.23857143,-100.4614286,-10.69571429,-34.11285714,31.22285714,58.54285714,104.5,32.1,-17.81857143,-41.53857143,-20.01285714,-72.76142857,-4.652857143,17.00428571,-11.23571429,-6.412857143,-48.05,50.15,27.7,27.6,13,55.95
20170322,32.84,1.025714286,58.29142857,-5.337142857,31.81428571,25.45142857,27.6,83.75,2.942857143,49.44,-8.234285714,17.62571429,3.874285714,74.89142857,0.148571428,11.26285714,4.8,83.55,16.6,19,24.45,39.2
20170323,11.65428571,1.698571429,68.07,28.24714286,9.955714286,56.41571429,0.4,115.75,-16.13,5.654285714,-20.46714286,-4.301428571,-10.70857143,62.07,-4.202857143,22.24714286,26.6,104.8,-6,-0.65,13.05,53.3
20170324,34.72142857,-1.985714286,67.35,51.03571429,36.70714286,32.62857143,3.2,139.55,-1.362857143,44.42142857,-9.694285714,7.714285714,4.191428572,77.05,-7.842857143,60.73571429,30.4,140.75,9.7,10.45,52.35,89.5
20170327,11.45571429,-8.332857143,90.61,120.2928571,19.78857143,79.15428571,10.1,163.05,-6.435714286,26.10571429,-24.56428571,6.317142857,5.65,105.26,-14.49285714,134.9428571,65.6,168.25,14.65,23.35,2.05,69.1
20170328,86.48571429,43.37714286,145.76,151.1485714,43.10857143,59.27428571,0,188.6,-21.1,69.18571429,-35.87142857,26.07714286,-9.014285714,128.46,-15.72857143,133.8485714,20.85,162.45,-17.3,6,8.45,6.55
20170329,117.39,52,152.6,102.3,65.39,35.21,12.8,163.25,-7.428571429,80.94,-11.88571429,15.55,4.457142857,116.15,-19.31428571,65.85,-11.85,112.2,-36.45,-27.25,-17.8,-28.6
20170330,76.97571429,10.63285714,116.7814286,37.17,66.34285714,39.80571429,31.6,123.2,-17.92142857,49.07571429,-25.84714286,-17.26714286,-9.995714286,88.88142857,-2.07,9.27,-25.1,60.35,-27.9,-28.45,-16.6,-26.35
20170331,-36.32142857,-77.07,-5.76,-9.155714286,40.74857143,30.56142857,77.85,41,13.52,-30.52142857,-1.994285714,-71.27,13.52,0.04,8.865714286,-3.355714286,-46.55,18,5.8,8.6,75.65,42
